date, pm25, pm10, o3, no2, so2
2018/1/17, 124, 50, 50, 15, 3
2018/1/18, 108, 33, 32, 17, 1
2018/1/19, 85, 36, 39, 12, 2
2018/1/20, 87, 51, 42, 22, 3
2018/1/21, 116, 65, 39, 36, 4
2018/1/22, 149, 50, 43, 18, 2
2018/1/23, 105, 45, 40, 9, 1
2018/1/24, 88, 36, 38, 10, 1
2018/1/25, 75, 45, 32, 13, 1
2018/1/26, 77, 39, 28, 12, 1
2018/1/27, 74, 35, 23, 22, 1
2018/1/28, 72, 16, 10, 21, 1
2018/1/29, 38, 27, 12, 14, 1
2018/1/30, 70, 16, 12, 20, 1
2018/1/31, 50, 44, 22, 25, 2
2018/2/1, 95, 46, 21, 20, 2
2018/2/2, 103, 52, 26, 22, 3
2018/2/3, 107, 63, 32, 18, 4
2018/2/4, 135, 59, 25, 25, 4
2018/2/5, 124, 50, 38, 19, 3
2018/2/6, 97, 53, 40, 23, 3
2018/2/7, 100, 47, 35, 19, 2
2018/2/8, 93, 40, 40, 22, 1
2018/2/9, 81, 52, 27, 39, 1
2018/2/10, 113, 58, 35, 19, 1
2018/2/11, 140, 51, 32, 24, 1
2018/2/12, 113, 65, 42, 17, 1
2018/2/13, 101, 57, 39, 20, 
2018/2/14, 79, 56, 34, 38, 2
2018/2/15, 87, 56, 13, 54, 6
2018/2/16, 123, 43, 35, 14, 1
2018/2/17, 101, 41, 35, 12, 
2018/2/18, 84, 31, 26, 22, 
2018/2/19, 73, 28, 24, 23, 
2018/2/20, 72, 30, 33, 9, 
2018/2/21, 67, 21, 29, 12, 
2018/2/22, 47, 11, 31, 13, 1
2018/2/23, 31, 32, 36, 16, 1
2018/2/24, 71, 38, 26, 28, 2
2018/2/25, 89, 24, 30, 12, 1
2018/2/26, 54, 34, 33, 17, 1
2018/2/27, 66, 44, 30, 42, 2
2018/2/28, 83, 40, 39, 26, 4
2018/3/1, 99, 37, 41, 14, 1
2018/3/2, 83, 47, 29, 16, 
2018/3/3, 104, 26, 10, 18, 1
2018/3/4, 78, 26, 5, 25, 3
2018/3/5, 69, 36, 39, 13, 1
2018/3/6, 65, 27, 35, 12, 
2018/3/7, 57, 14, 15, 18, 
2018/3/8, 40, 28, 33, 18, 1
2018/3/9, 58, 43, 48, 15, 1
2018/3/10, 75, 34, 46, 10, 1
2018/3/11, 67, 32, 40, 18, 1
2018/3/12, 63, 33, 34, 22, 2
2018/3/13, 70, 29, 29, 22, 2
2018/3/14, 69, 47, 21, 35, 2
2018/3/15, 88, 46, 17, 38, 4
2018/3/16, 99, 32, 43, 9, 1
2018/3/17, 76, 34, 39, 9, 
2018/3/18, 72, 43, 30, 23, 
2018/3/19, 88, 31, 25, 28, 2
2018/3/20, 68, 27, 35, 20, 1
2018/3/21, 55, 37, 42, 20, 2
2018/3/22, 70, 45, 53, 17, 2
2018/3/23, 76, 53, 50, 13, 2
2018/3/24, 83, 54, 57, 12, 2
2018/3/25, 87, 57, 42, 29, 2
2018/3/26, 93, 54, 36, 25, 3
2018/3/27, 108, 46, 42, 18, 2
2018/3/28, 100, 40, 39, 16, 1
2018/3/29, 93, 35, 39, 13, 1
2018/3/30, 79, 27, 39, 8, 1
2018/3/31, 56, 41, 35, 11, 2
2017/10/1, 51, 17, 19, 6, 1
2017/10/2, 34, 20, 19, 10, 1
2017/10/3, 44, 31, 29, 10, 1
2017/10/4, 65, 33, 34, 7, 
2017/10/5, 62, 40, 38, 11, 1
2017/10/6, 70, 37, 35, 9, 
2017/10/7, 67, 43, 43, 10, 1
2017/10/8, 76, 37, 27, 10, 1
2017/10/9, 60, 35, 35, 9, 2
2017/10/10, 61, 29, 29, 8, 2
2017/10/11, 53, 35, 37, 14, 2
2017/10/12, 58, 37, 33, 19, 1
2017/10/13, 67, 32, 17, 14, 1
2017/10/14, 63, 11, 21, 5, 
2017/10/15, 39, 18, 23, 11, 1
2017/10/16, 37, 19, 21, 13, 1
2017/10/17, 47, 26, 28, 15, 
2017/10/18, 58, 24, 21, 20, 
2017/10/19, 54, 27, 25, 20, 
2017/10/20, 58, 35, 36, 18, 1
2017/10/21, 69, 45, 50, 17, 1
2017/10/22, 89, 50, 46, 22, 2
2017/10/23, 101, 58, 62, 19, 2
2017/10/24, 109, 55, 54, 16, 1
2017/10/25, 97, 55, 57, 19, 2
2017/10/26, 99, 58, 43, 41, 3
2017/10/27, 110, 58, 62, 25, 3
2017/10/28, 116, 59, 58, 16, 3
2017/10/29, 125, 55, 45, 20, 3
2017/10/30, 102, 65, 48, 21, 2
2017/10/31, 131, 44, 42, 18, 1
2017/11/1, 68, 45, 44, 28, 2
2017/11/2, 78, 50, 49, 19, 3
2017/11/3, 93, 56, 43, 22, 4
2017/11/4, 106, 73, 56, 16, 3
2017/11/5, 144, 57, 33, 21, 3
2017/11/6, 115, 41, 22, 24, 2
2017/11/7, 88, 34, 29, 17, 1
2017/11/8, 76, 39, 42, 13, 2
2017/11/9, 67, 47, 40, 18, 2
2017/11/10, 79, 44, 38, 12, 2
2017/11/11, 83, 36, 31, 11, 2
2017/11/12, 79, 16, 27, 12, 1
2017/11/13, 51, 23, 24, 14, 1
2017/11/14, 60, 27, 28, 11, 1
2017/11/15, 60, 34, 36, 12, 1
2017/11/16, 69, 39, 30, 19, 2
2017/11/17, 84, 38, 22, 29, 4
2017/11/18, 85, 23, 15, 13, 1
2017/11/19, 48, 29, 10, 16, 1
2017/11/20, 58, 25, 16, 19, 1
2017/11/21, 57, 41, 17, 27, 2
2017/11/22, 67, 46, 26, 21, 2
2017/11/23, 94, 51, 24, 22, 2
2017/11/24, 97, 44, 15, 22, 2
2017/11/25, 88, 40, 10, 32, 2
2017/11/26, 76, 31, 21, 15, 2
2017/11/27, 64, 41, 35, 18, 2
2017/11/28, 73, 35, 29, 14, 1
2017/11/29, 66, 32, 24, 14, 1
2017/11/30, 61, 30, 27, 16, 1
2017/12/1, 55, 27, 28, 16, 2
2017/12/2, 53, 40, 33, 19, 2
2017/12/3, 74, 46, 21, 23, 2
2017/12/4, 86, 49, 21, 18, 3
2017/12/5, 96, 55, 42, 18, 3
2017/12/6, 108, 61, 36, 25, 4
2017/12/7, 115, 60, 36, 20, 5
2017/12/8, 113, 70, 43, 26, 5
2017/12/9, 154, 74, 36, 43, 7
2017/12/10, 154, 59, 42, 23, 6
2017/12/11, 115, 65, 43, 20, 5
2017/12/12, 122, 30, 25, 11, 3
2017/12/13, 61, 32, 25, 13, 2
2017/12/14, 53, 36, 25, 15, 1
2017/12/15, 69, 40, 14, 17, 1
2017/12/16, 62, 31, 16, 13, 2
2017/12/17, 73, 62, 26, 26, 3
2017/12/18, 143, 53, 29, 27, 4
2017/12/19, 102, 49, 28, 23, 4
2017/12/20, 84, 49, 44, 15, 3
2017/12/21, 80, 56, 45, 20, 2
2017/12/22, 98, 50, 40, 30, 2
2017/12/23, 94, 64, 51, 43, 5
2017/12/24, 129, 62, 59, 15, 5
2017/12/25, 125, 71, 57, 13, 3
2017/12/26, 132, 49, 40, 11, 1
2017/12/27, 86, 51, 33, 15, 1
2017/12/28, 85, 42, 37, 15, 1
2017/12/29, 88, 28, 32, 18, 1
2017/12/30, 58, 39, 40, 12, 1
2017/12/31, 86, 66, 46, 11, 2
